BITSSY0110	国内证卖方押汇放款取消记账
BITSSY0306	国内证卖方押汇还款审批1
BITSFB0206	其他贸易融资（出资）宽限审批1
BITSBY0308	国内证买方押汇还款审批3
BITSLT0309	转让证撤销/闭卷提交记账
BITSPO0310	出口订单融资还款取消记账
BITSTP0302	转让证来单付款登记复核
BITSDF0106	国内证代付放款审批1
BITSDP0106	国内证代理付款放款审批1
BITSGF0210	进口代收融资展期取消记账
BITSLD0601	国内证来单电提不符点登记
BITSLD0705	国内证来单拒付/退单/放单复核
BITSAP0209	协议付款修改提交记账
BITSAP0307	协议付款闭卷审批2
BITSDF0105	国内证代付放款复核
BITSRD0309	国内证卖方风险参与闭卷提交记账
BITSFO0307	福费廷买断还款审批2
BITSDC0306	国内信用证撤证/闭卷审批1
BITSFB0307	其他贸易融资（出资）还款审批2
BITSRD0102	国内证卖方风险参与录入登记复核
BITSTP0301	转让证来单付款登记
BITSRP0110	出口风险参与录入取消记账
BITSFF0101	有追索权出口保理融资放款登记
BITSSF0202	出口押汇宽限登记复核
BITSCM0802	分行终审金额权限维护
BITSLD0305	国内证来单付款确认复核
BITSTF0105	进口汇出汇款融资放款复核
BITSSY0205	国内证卖方押汇宽限复核
BITSIC0207	进口代收付款审批2
BITSLD0308	国内证来单付款确认审批3
BITSFQ0101	国内证卖方福费廷转卖录入登记
BITSCF0110	出口托收融资放款取消记账
BITSDF0110	国内证代付放款取消记账
BITSFO0107	福费廷买断放款审批2
BITSCM0803	柜员终审金额权限查询
BITSIC0305	进口代收承兑复核
BITSGP0209	国际对外担保/备用证来单修改提交记账
BITSGP0407	国际对外担保/备用证付款审批2
BITSIC0608	进口代收退单/转出/无偿放单/撤销审批3
BITSSG0309	国内涉外担保撤销/闭卷提交记账
BITSJD0701	国内证委托收款查询
BITSFA0105	其他贸易融资（非出资）录入复核
BITSXT0104	国内证通知录入经办
BITSIF0102	受理进口保理额度预/正式申请登记复核
BITSPO0206	出口订单融资展期审批1
BITSCM0101	登记导航
BITSCF0101	出口托收融资放款登记
BITSTP0110	转让证来单录入取消记账
BITSLC0202	进口信用证/保兑修改/修改确认登记复核
BITSPF0305	出口保理预付融资闭卷复核
BITSEF0504	出口保理发票转让修改经办
BITSJP0306	进口代理付款还款审批1
BITSAF0201	协议融资修改登记
BITSBP0202	出口议付收汇登记复核
BITSYF0102	国内证议付放款登记复核
BITSSP0106	国内涉外担保来单录入审批1
BITSAF0209	协议融资修改提交记账
BITSSO0310	福费廷转卖闭卷取消记账
BITSLT0205	转让证修改复核
BITSTF0206	进口汇出汇款融资展期审批1
BITSIC0407	进口代收修改审批2
BITSRD0304	国内证卖方风险参与闭卷经办
BITSAF0206	协议融资修改审批1
BITSXT0402	国内证通知闭卷/撤销登记复核
BITSTF0108	进口汇出汇款融资放款审批3
BITSFA0305	其他贸易融资（非出资）闭卷复核
BITSFO0309	福费廷买断还款提交记账
BITSLT0107	转让证开立审批2
BITSOC0201	出口托收收汇登记
BITSBP0201	出口议付收汇登记
BITSOC0410	出口托收退单/放单/闭卷取消记账
BITSFS0304	进口代付还款经办
BITSCM0221	交易流水表查询
BITSPO0109	出口订单融资放款提交记账
BITSCM0811	上收业务自动分配维护
BITSOC0307	出口托收修改审批2
BITSOC0305	出口托收修改复核
BITSSY0106	国内证卖方押汇放款审批1
BITSIP0310	出口发票融资还款取消记账
BITSGF0107	进口代收融资放款审批2
BITSCM0405	函电交涉取消记账
BITSSP0305	国内涉外担保来单拒付/退单/撤销复核
BITSIC0002	进口代收其他类登记复核
BITSLD0608	国内证来单电提不符点审批3
BITSTP0105	转让证来单录入复核
BITSFF0205	有追索权出口保理融资宽限复核
BITSGP0107	国际对外担保/备用证来单录入审批2
BITSDC0601	国内证业务查询
BITSBP0108	出口议付录入审批3
BITSCM0306	通用额度提用修改取消记账
BITSEF0501	出口保理发票转让修改登记
BITSFF0102	有追索权出口保理融资放款登记复核
BITSSG0210	国内涉外担保修改取消记账
BITSJP0305	进口代理付款还款复核
BITSNF0301	无追索权出口保理应收账款买断还款登记
BITSSF0305	出口押汇还款复核
BITSDF0205	国内证代付延展复核
BITSSG0109	国内涉外担保开立提交记账
BITSSG0206	国内涉外担保修改审批1
BITSIF0510	进口保理发票转让修改取消记账
BITSHS0111	国内证来单业务查询（历史库）
BITSHS0118	融资业务查询（历史库）
BITSFS0109	进口代付放款提交记账
BITSIC0105	进口代收录入复核
BITSLC0207	进口信用证/保兑修改/修改确认审批2
BITSSY0309	国内证卖方押汇还款提交记账
BITSSG0102	国内涉外担保开立登记复核
BITSIC0504	进口代收拒付经办
BITSSY0210	国内证卖方押汇宽限取消记账
BITSGP0408	国际对外担保/备用证付款审批3
BITSFS0202	进口代付延展登记复核
BITSFQ0109	国内证卖方福费廷转卖录入提交记账
BITSDP0307	国内证代理付款还款审批2
BITSRD0101	国内证卖方风险参与录入登记
BITSSF0309	出口押汇还款提交记账
BITSLP0101	来单录入登记
BITSFA0104	其他贸易融资（非出资）录入经办
BITSFB0201	其他贸易融资（出资）宽限登记
